id	companyCode	capital	smaDays	trendStrength
597	PIDILITIND	10000	120	12
598	PIDILITIND	10000	130	12
599	PIDILITIND	10000	140	12
600	PIDILITIND	10000	150	12
601	PIDILITIND	10000	10	13
602	PIDILITIND	10000	20	13
603	PIDILITIND	10000	30	13
604	PIDILITIND	10000	40	13
605	PIDILITIND	10000	50	13
606	PIDILITIND	10000	60	13
607	PIDILITIND	10000	70	13
608	PIDILITIND	10000	80	13
609	PIDILITIND	10000	90	13
610	PIDILITIND	10000	100	13
611	PIDILITIND	10000	110	13
612	PIDILITIND	10000	120	13
613	PIDILITIND	10000	130	13
614	PIDILITIND	10000	140	13
615	PIDILITIND	10000	150	13
616	PIDILITIND	10000	10	14
617	PIDILITIND	10000	20	14
618	PIDILITIND	10000	30	14
619	PIDILITIND	10000	40	14
620	PIDILITIND	10000	50	14
621	PIDILITIND	10000	60	14
622	PIDILITIND	10000	70	14
623	PIDILITIND	10000	80	14
624	PIDILITIND	10000	90	14
625	PIDILITIND	10000	100	14
626	PIDILITIND	10000	110	14
627	PIDILITIND	10000	120	14
628	PIDILITIND	10000	130	14
629	PIDILITIND	10000	140	14
630	PIDILITIND	10000	150	14
631	PIDILITIND	10000	10	15
632	PIDILITIND	10000	20	15
633	PIDILITIND	10000	30	15
634	PIDILITIND	10000	40	15
635	PIDILITIND	10000	50	15
636	PIDILITIND	10000	60	15
637	PIDILITIND	10000	70	15
638	PIDILITIND	10000	80	15
639	PIDILITIND	10000	90	15
640	PIDILITIND	10000	100	15
641	PIDILITIND	10000	110	15
642	PIDILITIND	10000	120	15
643	PIDILITIND	10000	130	15
644	PIDILITIND	10000	140	15
645	PIDILITIND	10000	150	15
646	PIDILITIND	10000	10	16
647	PIDILITIND	10000	20	16
648	PIDILITIND	10000	30	16
649	PIDILITIND	10000	40	16
650	PIDILITIND	10000	50	16
651	PIDILITIND	10000	60	16
652	PIDILITIND	10000	70	16
653	PIDILITIND	10000	80	16
654	PIDILITIND	10000	90	16
655	PIDILITIND	10000	100	16
656	PIDILITIND	10000	110	16
657	PIDILITIND	10000	120	16
658	PIDILITIND	10000	130	16
659	PIDILITIND	10000	140	16
660	PIDILITIND	10000	150	16
661	PIDILITIND	10000	10	17
662	PIDILITIND	10000	20	17
663	PIDILITIND	10000	30	17
664	PIDILITIND	10000	40	17
665	PIDILITIND	10000	50	17
666	PIDILITIND	10000	60	17
667	PIDILITIND	10000	70	17
668	PIDILITIND	10000	80	17
669	PIDILITIND	10000	90	17
670	PIDILITIND	10000	100	17
671	PIDILITIND	10000	110	17
672	PIDILITIND	10000	120	17
673	PIDILITIND	10000	130	17
674	PIDILITIND	10000	140	17
675	PIDILITIND	10000	150	17
676	PIDILITIND	10000	10	18
677	PIDILITIND	10000	20	18
678	PIDILITIND	10000	30	18
679	PIDILITIND	10000	40	18
680	PIDILITIND	10000	50	18
681	PIDILITIND	10000	60	18
682	PIDILITIND	10000	70	18
683	PIDILITIND	10000	80	18
684	PIDILITIND	10000	90	18
685	PIDILITIND	10000	100	18
686	PIDILITIND	10000	110	18
687	PIDILITIND	10000	120	18
688	PIDILITIND	10000	130	18
689	PIDILITIND	10000	140	18
690	PIDILITIND	10000	150	18
691	PIDILITIND	10000	10	19
692	PIDILITIND	10000	20	19
693	PIDILITIND	10000	30	19
694	PIDILITIND	10000	40	19
695	PIDILITIND	10000	50	19
696	PIDILITIND	10000	60	19
697	PIDILITIND	10000	70	19
698	PIDILITIND	10000	80	19
699	PIDILITIND	10000	90	19
700	PIDILITIND	10000	100	19
701	PIDILITIND	10000	110	19
702	PIDILITIND	10000	120	19
703	PIDILITIND	10000	130	19
704	PIDILITIND	10000	140	19
705	PIDILITIND	10000	150	19
706	PIDILITIND	10000	10	20
707	PIDILITIND	10000	20	20
708	PIDILITIND	10000	30	20
709	PIDILITIND	10000	40	20
710	PIDILITIND	10000	50	20
711	PIDILITIND	10000	60	20
712	PIDILITIND	10000	70	20
713	PIDILITIND	10000	80	20
714	PIDILITIND	10000	90	20
715	PIDILITIND	10000	100	20
716	PIDILITIND	10000	110	20
717	PIDILITIND	10000	120	20
718	PIDILITIND	10000	130	20
719	PIDILITIND	10000	140	20
720	PIDILITIND	10000	150	20
